accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	cultivar	ecotype	age	dev_stage	geo_loc_name	tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
SAMN09924424	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI064022		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI064022			4-6 weeks		not applicable	Leaf																					
SAMN09924425	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI064022-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI064022-2			4-6 weeks		not applicable	Leaf																					
SAMN09924426	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI064022-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI064022-3			4-6 weeks		not applicable	Leaf																					
SAMN09924427	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI069421		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI069421			4-6 weeks		not applicable	Leaf																					
SAMN09924428	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI069421-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI069421-2			4-6 weeks		not applicable	Leaf																					
SAMN09924429	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI069421-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI069421-3			4-6 weeks		not applicable	Leaf																					
SAMN09924430	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI071075		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI071075			4-6 weeks		not applicable	Leaf																					
SAMN09924431	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI071075-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI071075-2			4-6 weeks		not applicable	Leaf																					
SAMN09924432	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI071075-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI071075-3			4-6 weeks		not applicable	Leaf																					
SAMN09924433	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI087844		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI087844			4-6 weeks		not applicable	Leaf																					
SAMN09924434	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI087844-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI087844-2			4-6 weeks		not applicable	Leaf																					
SAMN09924435	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI094875		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI094875			4-6 weeks		not applicable	Leaf																					
SAMN09924436	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI094875-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI094875-2			4-6 weeks		not applicable	Leaf																					
SAMN09924437	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI119925		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI119925			4-6 weeks		not applicable	Leaf																					
SAMN09924438	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI119925-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI119925-2			4-6 weeks		not applicable	Leaf																					
SAMN09924439	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI129482		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI129482			4-6 weeks		not applicable	Leaf																					
SAMN09924440	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI129482-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI129482-2			4-6 weeks		not applicable	Leaf																					
SAMN09924441	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI135758		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI135758			4-6 weeks		not applicable	Leaf																					
SAMN09924442	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI135758-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI135758-2			4-6 weeks		not applicable	Leaf																					
SAMN09924443	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI157884		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI157884			4-6 weeks		not applicable	Leaf																					
SAMN09924444	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI157884-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI157884-2			4-6 weeks		not applicable	Leaf																					
SAMN09924445	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI163409		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI163409			4-6 weeks		not applicable	Leaf																					
SAMN09924446	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI163409-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI163409-2			4-6 weeks		not applicable	Leaf																					
SAMN09924447	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI173518		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI173518			4-6 weeks		not applicable	Leaf																					
SAMN09924448	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI173518-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI173518-2			4-6 weeks		not applicable	Leaf																					
SAMN09924449	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI173518-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI173518-3			4-6 weeks		not applicable	Leaf																					
SAMN09924450	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI174431		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI174431			4-6 weeks		not applicable	Leaf																					
SAMN09924451	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI174431-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI174431-2			4-6 weeks		not applicable	Leaf																					
SAMN09924452	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI178609		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI178609			4-6 weeks		not applicable	Leaf																					
SAMN09924453	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI178609-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI178609-2			4-6 weeks		not applicable	Leaf																					
SAMN09924454	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI178609-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI178609-3			4-6 weeks		not applicable	Leaf																					
SAMN09924455	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI181102		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI181102			4-6 weeks		not applicable	Leaf																					
SAMN09924456	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI181102-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI181102-2			4-6 weeks		not applicable	Leaf																					
SAMN09924457	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI190711		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI190711			4-6 weeks		not applicable	Leaf																					
SAMN09924458	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI190711-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI190711-2			4-6 weeks		not applicable	Leaf																					
SAMN09924459	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI190711-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI190711-3			4-6 weeks		not applicable	Leaf																					
SAMN09924460	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI190790		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI190790			4-6 weeks		not applicable	Leaf																					
SAMN09924461	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI190790-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI190790-2			4-6 weeks		not applicable	Leaf																					
SAMN09924462	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI223883		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI223883			4-6 weeks		not applicable	Leaf																					
SAMN09924463	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI223883-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI223883-2			4-6 weeks		not applicable	Leaf																					
SAMN09924464	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI270692		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI270692			4-6 weeks		not applicable	Leaf																					
SAMN09924465	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI270692-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI270692-2			4-6 weeks		not applicable	Leaf																					
SAMN09924466	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI270692-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI270692-3			4-6 weeks		not applicable	Leaf																					
SAMN09924467	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI270692-4		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI270692-4			4-6 weeks		not applicable	Leaf																					
SAMN09924468	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI282616		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI282616			4-6 weeks		not applicable	Leaf																					
SAMN09924469	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI282616-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI282616-2			4-6 weeks		not applicable	Leaf																					
SAMN09924470	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI296460		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI296460			4-6 weeks		not applicable	Leaf																					
SAMN09924471	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI296460-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI296460-2			4-6 weeks		not applicable	Leaf																					
SAMN09924472	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI296460-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI296460-3			4-6 weeks		not applicable	Leaf																					
SAMN09924473	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI298708		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI298708			4-6 weeks		not applicable	Leaf																					
SAMN09924474	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI298708-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI298708-2			4-6 weeks		not applicable	Leaf																					
SAMN09924475	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI320217		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI320217			4-6 weeks		not applicable	Leaf																					
SAMN09924476	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI320217-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI320217-2			4-6 weeks		not applicable	Leaf																					
SAMN09924477	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327680		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327680			4-6 weeks		not applicable	Leaf																					
SAMN09924478	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327680-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327680-2			4-6 weeks		not applicable	Leaf																					
SAMN09924479	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327680-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327680-3			4-6 weeks		not applicable	Leaf																					
SAMN09924480	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327716		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327716			4-6 weeks		not applicable	Leaf																					
SAMN09924481	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327716-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327716-2			4-6 weeks		not applicable	Leaf																					
SAMN09924482	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327716-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327716-3			4-6 weeks		not applicable	Leaf																					
SAMN09924483	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327859		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327859			4-6 weeks		not applicable	Leaf																					
SAMN09924484	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327859-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327859-2			4-6 weeks		not applicable	Leaf																					
SAMN09924485	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI327859-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI327859-3			4-6 weeks		not applicable	Leaf																					
SAMN09924486	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328052		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328052			4-6 weeks		not applicable	Leaf																					
SAMN09924487	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328052-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328052-2			4-6 weeks		not applicable	Leaf																					
SAMN09924488	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328155		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328155			4-6 weeks		not applicable	Leaf																					
SAMN09924489	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328155-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328155-2			4-6 weeks		not applicable	Leaf																					
SAMN09924490	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328485		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328485			4-6 weeks		not applicable	Leaf																					
SAMN09924491	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328485-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328485-2			4-6 weeks		not applicable	Leaf																					
SAMN09924492	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328485-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328485-3			4-6 weeks		not applicable	Leaf																					
SAMN09924493	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328577		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328577			4-6 weeks		not applicable	Leaf																					
SAMN09924494	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328577-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328577-2			4-6 weeks		not applicable	Leaf																					
SAMN09924495	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328632		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328632			4-6 weeks		not applicable	Leaf																					
SAMN09924496	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328632-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328632-2			4-6 weeks		not applicable	Leaf																					
SAMN09924497	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI328632-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI328632-3			4-6 weeks		not applicable	Leaf																					
SAMN09924498	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI329000		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI329000			4-6 weeks		not applicable	Leaf																					
SAMN09924499	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI329000-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI329000-2			4-6 weeks		not applicable	Leaf																					
SAMN09924500	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI329000-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI329000-3			4-6 weeks		not applicable	Leaf																					
SAMN09924501	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI356719		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI356719			4-6 weeks		not applicable	Leaf																					
SAMN09924502	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI356719-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI356719-2			4-6 weeks		not applicable	Leaf																					
SAMN09924503	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI362207		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI362207			4-6 weeks		not applicable	Leaf																					
SAMN09924504	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI362207-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI362207-2			4-6 weeks		not applicable	Leaf																					
SAMN09924505	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI371817		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI371817			4-6 weeks		not applicable	Leaf																					
SAMN09924506	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI371817-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI371817-2			4-6 weeks		not applicable	Leaf																					
SAMN09924507	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI371817-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI371817-3			4-6 weeks		not applicable	Leaf																					
SAMN09924508	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI382860		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI382860			4-6 weeks		not applicable	Leaf																					
SAMN09924509	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI382860-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI382860-2			4-6 weeks		not applicable	Leaf																					
SAMN09924510	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI386650		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI386650			4-6 weeks		not applicable	Leaf																					
SAMN09924511	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI386650-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI386650-2			4-6 weeks		not applicable	Leaf																					
SAMN09924512	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI387098		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI387098			4-6 weeks		not applicable	Leaf																					
SAMN09924513	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI387098-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI387098-2			4-6 weeks		not applicable	Leaf																					
SAMN09924514	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI387098-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI387098-3			4-6 weeks		not applicable	Leaf																					
SAMN09924515	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI390281		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI390281			4-6 weeks		not applicable	Leaf																					
SAMN09924516	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI390281-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI390281-2			4-6 weeks		not applicable	Leaf																					
SAMN09924517	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI392524		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI392524			4-6 weeks		not applicable	Leaf																					
SAMN09924518	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI392524-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI392524-2			4-6 weeks		not applicable	Leaf																					
SAMN09924519	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI401964		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI401964			4-6 weeks		not applicable	Leaf																					
SAMN09924520	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI401964-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI401964-2			4-6 weeks		not applicable	Leaf																					
SAMN09924521	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI402037		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI402037			4-6 weeks		not applicable	Leaf																					
SAMN09924522	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI402037-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI402037-2			4-6 weeks		not applicable	Leaf																					
SAMN09924523	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI402037-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI402037-3			4-6 weeks		not applicable	Leaf																					
SAMN09924524	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI402164		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI402164			4-6 weeks		not applicable	Leaf																					
SAMN09924525	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI402164-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI402164-2			4-6 weeks		not applicable	Leaf																					
SAMN09924526	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI410451		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI410451			4-6 weeks		not applicable	Leaf																					
SAMN09924527	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI410451-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI410451-2			4-6 weeks		not applicable	Leaf																					
SAMN09924528	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI410483		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI410483			4-6 weeks		not applicable	Leaf																					
SAMN09924529	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI410483-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI410483-2			4-6 weeks		not applicable	Leaf																					
